,stocks,PREV,NOW,%,VOL
3,Sasini Tea & Coffee Ltd.,21.00,23.00,9.52%,"1,800"
4,Uchumi Supermarket,1.40,1.50,7.14%,"19,800"
5,Sameer Africa Ltd. (Firestone),2.90,3.05,5.17%,"53,900"
6,Trans-Century,3.35,3.50,4.48%,"10,600"
7,Kapchorua Tea Company Ltd.,83.50,86.50,3.59%,800
8,Unga Group Ltd.,38.75,40.00,3.23%,"5,200"
9,Sanlam Kenya Plc,24.25,25.00,3.09%,100
10,B.O.C Kenya Ltd.,72.00,74.00,2.78%,100
11,Carbacid Investments Ltd.,11.00,11.30,2.73%,300
12,Crown Paints Kenya Ltd,54.00,55.00,1.85%,"12,100"
13,Athi-River Mining Ltd.,4.50,4.55,1.11%,"294,500"
14,KCB Group Ltd,48.00,48.50,1.04%,"1,464,700"
15,CIC Insurance Group Limited,4.90,4.95,1.02%,"117,100"
16,Equity Group Holdings Ltd,49.25,49.75,1.02%,"844,300"
17,Williamson Tea Kenya Ltd.,171.00,172.00,0.58%,"63,600"
18,Standard Chartered Bank Kenya Ltd.,200.00,201.00,0.50%,"12,700"
19,Co-operative Bank of Kenya Ltd.,16.95,17.00,0.29%,"101,600"
20,East African Cables Ltd.,3.70,3.70,0.00%,"20,600"
21,Limuru Tea Company Ltd.,500.00,500.00,0.00%,0
22,Atlas African Industries Ltd,1.05,1.05,0.00%,0
23,Eveready East Africa Ltd.,1.45,1.45,0.00%,"9,700"
24,Nairobi Business Ventures Limited,2.35,2.35,0.00%,100
25,TPS Eastern Africa Ltd. (Serena),27.00,27.00,0.00%,0
26,Eaagads Ltd.,18.60,18.60,0.00%,0
27,Kakuzi Ltd.,320.00,320.00,0.00%,0
28,Kenya Power & Lighting Company Ltd.,6.00,6.00,0.00%,"175,100"
29,Safaricom Ltd.,28.00,28.00,0.00%,"1,404,800"
30,Barclays Bank of Kenya Ltd.,11.70,11.70,0.00%,"189,400"
31,Nairobi Securities Exchange,16.95,16.95,0.00%,"9,800"
32,Car & General (Kenya) Ltd.,18.00,18.00,0.00%,0
33,National Bank of Kenya Ltd.,5.80,5.80,0.00%,"4,600"
34,Mumias Sugar Company Ltd.,0.70,0.70,0.00%,"298,000"
35,Kenya Orchards,82.00,82.00,0.00%,0
36,Kurwitu Ventures Ltd,"1,500.00","1,500.00",0.00%,0
37,East African Portland Cement Company,20.50,20.50,0.00%,0
38,Standard Group Ltd.,29.00,29.00,0.00%,0
39,Umeme,8.55,8.55,0.00%,0
40,Jubilee Insurance Company Ltd.,504.00,504.00,0.00%,"3,100"
41,Express Kenya Ltd.,5.40,5.40,0.00%,0
42,KenGen,6.10,6.10,0.00%,"1,443,100"
43,Kenya Re-insurance Corp. Ltd.,16.25,16.20,-0.31%,"10,000"
44,STANLIB FAHARI I-REIT,10.25,10.20,-0.49%,"4,700"
45,Kenya Airways Ltd.,9.95,9.90,-0.50%,"18,700"
46,Stanbic Holdings Plc,91.50,91.00,-0.55%,"67,400"
47,Nation Media Group Ltd.,90.50,90.00,-0.55%,"9,900"
48,NIC Bank Ltd.,34.50,34.25,-0.72%,"60,400"
49,Centum Investment Company Ltd.,34.00,33.75,-0.74%,"6,700"
50,Kenya Oil Company Ltd.,18.00,17.85,-0.83%,"9,500"
51,Diamond Trust Bank (Kenya) Ltd.,199.00,197.00,-1.01%,"46,400"
52,Bamburi Cement Company Ltd.,180.00,178.00,-1.11%,"4,700"
53,FTG Holdings Ltd,3.60,3.55,-1.39%,"7,600"
54,Olympia Capital Holdings Ltd.,3.50,3.45,-1.43%,500
55,WPP Scangroup,16.50,16.25,-1.52%,"2,000"
56,East African Breweries Ltd.,229.00,225.00,-1.75%,"56,800"
57,Britam Holdings Ltd,14.50,14.20,-2.07%,"22,200"
58,British American Tobacco Kenya Ltd.,620.00,601.00,-3.06%,400
59,Longhorn Kenya Ltd,4.65,4.50,-3.23%,500
60,Liberty Kenya Holdings.,13.45,12.95,-3.72%,"2,400"
61,Total Kenya Ltd.,32.25,31.00,-3.88%,"29,200"
62,I & M Holdings Ltd,115.00,110.00,-4.35%,"6,900"
63,Housing Finance Company Ltd.,8.45,8.00,-5.33%,"654,900"
64,Home Afrika Ltd,0.80,0.75,-6.25%,"16,100"
65,Deacons (East Africa) PLC,1.25,1.15,-8.00%,"13,800"
